"id"	"name"
"CO_335:0000764"	"Geometric mean of days to physiological maturity"
"CO_335:0000765"	"Geometric mean of hundred seed weight"
"CO_335:0000766"	"Geometric mean of seed yield"
"CO_335:0000767"	"Seed yield drought susceptibility index"
"CO_335:0000768"	"Canopy width"
"CO_335:0000769"	"Dead leaf biomass at R8"
"CO_335:0000770"	"Hundred seed weight"
"CO_335:0000771"	"Leaf area"
"CO_335:0000772"	"Leaf area index"
"CO_335:0000773"	"Leaf biomass at R8"
"CO_335:0000774"	"Mean root diameter"
"CO_335:0000775"	"Plant harvested number"
"CO_335:0000776"	"Plant height"
"CO_335:0000777"	"Plant leaf area"
"CO_335:0000778"	"Plant pod number"
"CO_335:0000779"	"Plant root volume"
"CO_335:0000780"	"Plant seed number"
"CO_335:0000781"	"Plant seed yield"
"CO_335:0000782"	"Plant shoot biomass"
"CO_335:0000783"	"Plant total root biomass"
"CO_335:0000784"	"Plant total root length"
"CO_335:0000785"	"Pod biomass at R8"
"CO_335:0000786"	"Pod biomass at R9"
"CO_335:0000787"	"Pod dehiscence type"
"CO_335:0000788"	"Pod harvest index"
"CO_335:0000789"	"Pod number"
"CO_335:0000790"	"Pod partitioning index"
"CO_335:0000791"	"Pod seed number"
"CO_335:0000792"	"Pod wall biomass at R9"
"CO_335:0000793"	"Root depth"
"CO_335:0000794"	"Root volume"
"CO_335:0000795"	"Seed ash content"
"CO_335:0000796"	"Seed harvest index"
"CO_335:0000797"	"Seed moisture content"
"CO_335:0000798"	"Seed number"
"CO_335:0000799"	"Seed size"
"CO_335:0000800"	"Seed yield"
"CO_335:0000801"	"Seed yield productivity rate"
"CO_335:0000802"	"Shoot ash content"
"CO_335:0000803"	"Shoot biomass"
"CO_335:0000804"	"Shoot biomass at R8"
"CO_335:0000805"	"Specific root length"
"CO_335:0000806"	"Stem biomass at R8"
"CO_335:0000807"	"Stem biomass at R9"
"CO_335:0000808"	"Stem biomass reduction"
"CO_335:0000809"	"Total root biomass"
"CO_335:0000810"	"Total root length"
"CO_335:0000811"	"Presence of marker linked to bc-3 gene"
"CO_335:0000812"	"Presence of marker linked to bgm-1 gene"
"CO_335:0000813"	"Presence of marker linked to W12 QTL"
"CO_335:0000814"	"Angular Leaf Spot disease severity on leaves"
"CO_335:0000815"	"Angular Leaf Spot disease severity on pods"
"CO_335:0000816"	"Anthracnose disease severity on leaves"
"CO_335:0000817"	"Anthracnose disease severity on pods"
"CO_335:0000818"	"Aphids damage"
"CO_335:0000819"	"Ascochyta blight disease severity on leaves"
"CO_335:0000820"	"Ascochyta blight disease severity on pods"
"CO_335:0000821"	"Bean Common Mosaic Necrosis Virus reaction"
"CO_335:0000822"	"Bean Golden Yellow Mosaic Virus reaction"
"CO_335:0000823"	"Bean Golden Yellow Mosaic Virus severity"
"CO_335:0000824"	"Bean Stem Maggot damage"
"CO_335:0000825"	"Bruchid damage on seeds"
"CO_335:0000826"	"Common Bacterial Blight disease severity on leaves"
"CO_335:0000827"	"Common Bacterial Blight disease severity on pods"
"CO_335:0000828"	"Floury leaf spot disease severity"
"CO_335:0000829"	"Fusarium solani disease severity"
"CO_335:0000830"	"Halo blight disease severity on leaves"
"CO_335:0000831"	"Halo blight disease severity on pods"
