"id"	"name"
"CO_340:0000617"	"Nodule weight"
"CO_340:0000620"	"Nodule number"
"CO_340:0000623"	"Peduncle length"
"CO_340:0000629"	"Diabrotica"
"CO_340:0000651"	"Growth pattern"
"CO_340:0000652"	"Twinning tendency"
"CO_340:0000653"	"Plant pigmentation"
"CO_340:0000654"	"Terminal leaflet shape"
"CO_340:0000655"	"Plant hairiness"
"CO_340:0000656"	"Raceme position"
"CO_340:0000657"	"Pod attachment to peduncle"
"CO_340:0000658"	"Immature pod pigmentation"
"CO_340:0000659"	"Pod curvature"
"CO_340:0000660"	"Seed Shape"
"CO_340:0000661"	"Testa texture"
"CO_340:0000662"	"Eye colour"
"CO_340:0000663"	"Eye pattern"
"CO_340:0000664"	"Hypocotyl length"
"CO_340:0000665"	"Leaf colour"
"CO_340:0000666"	"Leaf marking"
"CO_340:0000667"	"Terminal leaflet length"
"CO_340:0000668"	"Terminal leaflet width"
"CO_340:0000669"	"Leaf texture"
"CO_340:0000670"	"Stipule length"
"CO_340:0000671"	"Stipule width"
"CO_340:0000672"	"Number of main branches"
"CO_340:0000673"	"Number of nodes"
"CO_340:0000674"	"Plant vigour"
"CO_340:0000675"	"Leaf/stem ratio"
"CO_340:0000676"	"Plant dry weight content"
"CO_340:0000677"	"Fresh biomass at flowering"
"CO_340:0000678"	"Capacity for re-growth"
"CO_340:0000679"	"Dry matter digestibility"
"CO_340:0000680"	"Flowering pigment pattern"
"CO_340:0000681"	"Flower length"
"CO_340:0000682"	"Calyx lobe length"
"CO_340:0000683"	"Number of racemes"
"CO_340:0000684"	"Pod width"
"CO_340:0000685"	"Pod wall thickness"
"CO_340:0000686"	"Pod colour"
"CO_340:0000687"	"Seed length"
"CO_340:0000688"	"Seed width"
"CO_340:0000689"	"Seed thickness"
"CO_340:0000690"	"Seed crowding"
"CO_340:0000691"	"Splitting of testa"
"CO_340:0000692"	"Attachment of testa"
"CO_340:0000693"	"Adventitous root growth angle"
"CO_340:0000694"	"Basal root growth angle"
"CO_340:0000695"	"Stem diameter"
"CO_340:0000696"	"Tap root diameter at 5"
"CO_340:0000697"	"Tap root diameter at 10"
"CO_340:0000698"	"Tap root diameter at 15"
"CO_340:0000699"	"Number of basal region roots"
"CO_340:0000700"	"Number of adventitious roots"
"CO_340:0000701"	"Branching density 5-10"
"CO_340:0000702"	"Branching density 10-15"
"CO_340:0000703"	"Number of adventitious roots"
"CO_340:0000704"	"Number of basal region roots"
"CO_340:0000705"	"Number of tap laterals"
"CO_340:0000706"	"3rd order branching density"
"CO_340:0000640"	"Harvested leaf weight"
"CO_340:0000708"	"Tap root diameter"
"CO_340:0000709"	"Branching density"
"CO_340:0000326"	"Harvest date"
"CO_340:0000536"	"DYSTRGEM"
"CO_340:0000329"	"TOTAL SEED HARVESTED"
"CO_340:0000332"	"TOTAL PODS HARVESTED"
"CO_340:0000335"	"Pod weight per plot"
"CO_340:0000353"	"Pods per peduncule"
"CO_340:0000305"	"DISEASES"
"CO_340:0000458"	"TOTAL PODS"
"CO_340:0000284"	"PODS KG/H"
"CO_340:0000452"	"Resistance to bacterial blight (X. vignicola)"
"CO_340:0000311"	"INSECTS"
"CO_340:0000449"	"Pods per plot"
"CO_340:0000371"	"GRPODKGH"
"CO_340:0000377"	"Blackeye cowpea mosaic virus"
"CO_340:0000461"	"PLOT INFECTED WITH ALECTRA"
"CO_340:0000632"	"ALPERPLT"
"CO_340:0000542"	"Resistance to M. incognita root knot nematode"
"CO_340:0000557"	"M. incognita root knot nematode"
"CO_340:0000578"	"PERCENT PROTEIN"
"CO_340:0000626"	"STRGDRWT"
"CO_340:0000599"	"Resistance to M. javanica root knot nematode"
"CO_340:0000605"	"HEAD WEIGHT"
"CO_340:0000608"	"Zinc concentration"
"CO_340:0000611"	"Iron concentration"
"CO_340:0000879"	"Zinc concentration"
"CO_340:0000890"	"Iron concentration"
"CO_340:0000233"	"Flowering time"
"CO_340:0000236"	"Maturity time"
"CO_340:0000239"	"Seed per pod"
"CO_340:0000242"	"Grain yield per plant"
"CO_340:0000245"	"Grain yield per plot"
"CO_340:0000638"	"Grain yield"
"CO_340:0000248"	"Plant stand at harvest"
"CO_340:0000639"	"Plant stand at emergence"
"CO_340:0002640"	"Bacterial blight (X. vignicola) severity"
"CO_340:0003641"	"Pod yield"
"CO_340:0004642"	"Fodder biomass at Flowering"
"CO_340:0005643"	"Seed weight"
"CO_340:0006644"	"Biomass at Maturity"
"CO_340:0007645"	"Floral abscision"
"CO_340:0000269"	"Drought induced senescence"
"CO_340:0000272"	"Seed coat pattern"
"CO_340:0000275"	"Virus Severity"
"CO_340:0000278"	"Virus Incidence"
"CO_340:0000281"	"Brown blotch"
"CO_340:0000290"	"Resistance to Striga gesnerioides"
"CO_340:0000293"	"Harvest index"
"CO_340:0000296"	"Cowpea aphid-borne mosaic virus severity"
"CO_340:0000299"	"Thrip damage to podset"
"CO_340:0000302"	"Pods per peduncule"
"CO_340:0000308"	"Maruca damage"
"CO_340:0000317"	"Pod sucking bug severity"
"CO_340:0000320"	"Number of Striga"
"CO_340:0000323"	"Blackeye cowpea mosaic virus severity"
"CO_340:0000338"	"Bacteria pustule"
"CO_340:0000341"	"Time to first flower"
"CO_340:0000344"	"Time to first mature pod"
"CO_340:0000356"	"Pod per plant"
"CO_340:0000359"	"Plant infected with Striga"
"CO_340:0000362"	"Thrip Resistance"
"CO_340:0000365"	"Web blight damage"
"CO_340:0000368"	"Stem rot damage"
"CO_340:0000374"	"Threshability"
"CO_340:0000314"	"Date of Striga emergence"
"CO_340:0000380"	"Fusarium wilt Race 3 damage"
"CO_340:0000383"	"Fusarium wilt Race 4 damage"
"CO_340:0000386"	"Aphid damage"
"CO_340:0000641"	"Aphid incidence"
"CO_340:0000642"	"Aphid severity"
"CO_340:0000643"	"Leafhopper (Empoasca) damage"
"CO_340:0000389"	"Thrip damage to stipules"
"CO_340:0000644"	"Flower thrip damage"
"CO_340:0000428"	"Foliar thrip damage"
"CO_340:0000392"	"Termites infestation"
"CO_340:0000395"	"Pigment bleeding"
"CO_340:0000398"	"Septoria severity"
"CO_340:0000401"	"Length of pods"
"CO_340:0000404"	"Dead plant proportion"
"CO_340:0000410"	"Anthracnose damage"
"CO_340:0000413"	"Seedcoat"
"CO_340:0000416"	"Seedcoat color"
"CO_340:0000419"	"Seed shape"
"CO_340:0000422"	"Cercospora"
"CO_340:0000425"	"Alectra"
"CO_340:0000645"	"Alectra - Date of First Alectra Emergence"
"CO_340:0000646"	"Alectra- Alectra infection"
"CO_340:0000647"	"Alectra- Height of Alectra"
"CO_340:0000648"	"Weight of Alectra"
"CO_340:0000431"	"Flower color"
"CO_340:0000434"	"Canopy Height"
"CO_340:0000437"	"Color of dry pod"
"CO_340:0000440"	"Macrophomina Severity"
"CO_340:0000443"	"Lygus bug damage"
"CO_340:0000467"	"Growth habit"
"CO_340:0000476"	"Cooking time"
"CO_340:0000497"	"Phytium infestation"
"CO_340:0000500"	"Fresh pod"
"CO_340:0000503"	"M. javanica root knot nematode"
"CO_340:0000509"	"Chlorophyll content"
"CO_340:0000530"	"Dry fodder weight"
"CO_340:0000533"	"Pode emergence time"
"CO_340:0000649"	"Striga infestation"
"CO_340:0000650"	"Striga- Height of Striga"
"CO_340:0000539"	"Smut infestation"
"CO_340:0000545"	"Leaf scab infestation"
"CO_340:0000494"	"Pod scab infestation"
"CO_340:0000548"	"Grain sucrose content"
"CO_340:0000563"	"Leaf spot infestation"
"CO_340:0000566"	"Leaf weight"
"CO_340:0000569"	"Plant height"
"CO_340:0000572"	"Phoma infestation"
"CO_340:0000575"	"Grain protein content"
"CO_340:0000875"	"Leaf protein content"
"CO_340:0000581"	"Dead plant number"
"CO_340:0000584"	"Leaf rust infestation"
"CO_340:0000587"	"Number of hills"
"CO_340:0000596"	"Wasps"
"CO_340:0000602"	"Leaf harvest"
"CO_340:0000614"	"Fresh fodder weight"
