"id"	"name"
"CO_341:0000057"	"Sterility mosaic incidence"
"CO_341:0000081"	"Stem color"
"CO_341:0000151"	"Soil salinity stress susceptibility"
"CO_341:0000152"	"Soil acidity stress susceptibility"
"CO_341:0000135"	"Seedling vigour"
"CO_341:0000078"	"Seed base colour"
"CO_341:0000123"	"Grain weight per plant"
"CO_341:0000126"	"Seed yield"
"CO_341:0000120"	"Grain weight per plot"
"CO_341:0000117"	"Weight of 100 seeds"
"CO_341:0000114"	"Cooking quality of seed"
"CO_341:0000108"	"Seed milling fraction"
"CO_341:0000105"	"Seed protein content"
"CO_341:0000075"	"Seed germination"
"CO_341:0000060"	"Seed moisture content"
"CO_341:0000042"	"Seeds per plant"
"CO_341:0000039"	"Seeds per pod"
"CO_341:0000030"	"Seed weight"
"CO_341:0000018"	"Number of secondary branches"
"CO_341:0000069"	"Radicle length"
"CO_341:0000012"	"Number of productive branches"
"CO_341:0000015"	"Number of primary branches"
"CO_341:0000153"	"Pod wasp susceptibility"
"CO_341:0000154"	"Pod fly susceptibility"
"CO_341:0000155"	"Pod borers susceptibility"
"CO_341:0000036"	"Pods per plant"
"CO_341:0000141"	"Pod length"
"CO_341:0000102"	"Pod size"
"CO_341:0000099"	"Pod wax"
"CO_341:0000096"	"Pod pubescence"
"CO_341:0000093"	"Pod color"
"CO_341:0000033"	"Pods per cluster"
"CO_341:0000072"	"Plumule length"
"CO_341:0000147"	"Plant Fertility"
"CO_341:0000138"	"Days to first flower"
"CO_341:0000132"	"Plant vigour"
"CO_341:0000129"	"Plant senescence"
"CO_341:0000063"	"Harvest index"
"CO_341:0000051"	"Visual selection scores at maturity stage"
"CO_341:0000048"	"Visual selection scores at podding stage"
"CO_341:0000045"	"Visual selection scores at flowering stage"
"CO_341:0000027"	"Pod bearing length"
"CO_341:0000024"	"Plant stand"
"CO_341:0000021"	"Plant height"
"CO_341:0000009"	"Days to 75 % maturity"
"CO_341:0000006"	"Days to 50 % flowering"
"CO_341:0000003"	"Maturity group"
"CO_341:0000000"	"Flowering pattern"
"CO_341:0000156"	"Phytophthora blight disease susceptibility"
"CO_341:0000157"	"Nematodes susceptibility"
"CO_341:0000158"	"Low temperature stress susceptibility"
"CO_341:0000159"	"Leaf tier susceptibility"
"CO_341:0000087"	"Leaf pubescence"
"CO_341:0000084"	"Leaf shape"
"CO_341:0000066"	"Leaf chlorophyll content"
"CO_341:0000160"	"High temperature stress susceptibility"
"CO_341:0000054"	"Fusarium wilt Incidence"
"CO_341:0000090"	"Flower color"
"CO_341:0000161"	"Drought stress susceptibility"
"CO_341:0000111"	"Cooking quality of dhal"
"CO_341:0000144"	"Number of clusters"
"CO_341:0000162"	"Alternaria blight disease susceptibility"
