"id"	"name"
"CO_346:0000030"	"Acid soil tolerance"
"CO_346:0000033"	"Cold tolerance"
"CO_346:0000036"	"Drought tolerance"
"CO_346:0000039"	"Heat tolerance"
"CO_346:0000042"	"Salinity tolerance"
"CO_346:0000045"	"Branch number"
"CO_346:0000049"	"Cluster number"
"CO_346:0000001"	"Lodging incidence"
"CO_346:0000057"	"Nodulation"
"CO_346:0000061"	"Plant height"
"CO_346:0000064"	"Plant leafiness"
"CO_346:0000068"	"Plant stand"
"CO_346:0000072"	"Pod number"
"CO_346:0000076"	"Seed number"
"CO_346:0000080"	"Seed shattering"
"CO_346:0000002"	"Seed weight"
"CO_346:0000003"	"Seed yield"
"CO_346:0000094"	"Seedling vigour"
"CO_346:0000098"	"Shelling index"
"CO_346:0000101"	"Aphid resistance"
"CO_346:0000104"	"Bacterial leaf spot resistance"
"CO_346:0000107"	"Bruchid resistance"
"CO_346:0000004"	"Cercospora leaf spot resistance"
"CO_346:0000112"	"Pod borer resistance"
"CO_346:0000115"	"Powdery Mildew resistance"
"CO_346:0000118"	"Whitefly resistance"
"CO_346:0000121"	"Yellow mosaic virus resistance"
"CO_346:0000124"	"Branch length"
"CO_346:0000127"	"Calyx colour"
"CO_346:0000131"	"Corolla colour"
"CO_346:0000135"	"First pod position"
"CO_346:0000139"	"Growth habit"
"CO_346:0000143"	"Growth pattern"
"CO_346:0000147"	"Hypocotyl colour"
"CO_346:0000151"	"Immature pod colour"
"CO_346:0000155"	"Internode length"
"CO_346:0000158"	"Leaf colour"
"CO_346:0000005"	"Leaf pubescence"
"CO_346:0000165"	"Leaf trichome length"
"CO_346:0000169"	"Mature pod colour"
"CO_346:0000173"	"Node number"
"CO_346:0000177"	"Peduncle length"
"CO_346:0000180"	"Petiole colour"
"CO_346:0000184"	"Petiole length"
"CO_346:0000187"	"Pod constriction"
"CO_346:0000190"	"Pod curvature"
"CO_346:0000006"	"Pod length"
"CO_346:0000007"	"Pod pubescence"
"CO_346:0000202"	"Pod thickness"
"CO_346:0000205"	"Seed colour"
"CO_346:0000209"	"Seed hilum shape"
"CO_346:0000213"	"Seed length"
"CO_346:0000216"	"Seed lustre"
"CO_346:0000008"	"Seed mottling"
"CO_346:0000223"	"Seed shape"
"CO_346:0000227"	"Seed width"
"CO_346:0000230"	"Seed width length ratio"
"CO_346:0000234"	"Stem diameter"
"CO_346:0000009"	"Terminal leaflet length"
"CO_346:0000242"	"Terminal leaflet shape"
"CO_346:0000246"	"Terminal leaflet width"
"CO_346:0000249"	"Emergence time"
"CO_346:0000252"	"Flowering period duration"
"CO_346:0000010"	"Flowering time"
"CO_346:0000011"	"Maturity time"
"CO_346:0000264"	"Photoperiod response"
"CO_346:0000268"	"Leaf Chlorophyll content"
"CO_346:0000272"	"Seed protein content"
"CO_346:0000274"	"Seed Iron content"
"CO_346:0000276"	"Seed Calcium content"
"CO_346:0000278"	"Seed Magnesium content"
"CO_346:0000280"	"Seed Zinc content"
"CO_346:0000282"	"Seed Selenium content"
"CO_346:0000284"	"Seed Phosphosrus content"
"CO_346:0000286"	"Seed Copper content"
"CO_346:0000288"	"Seed Manganese content"
"CO_346:0000290"	"Seed Sodium content"
"CO_346:0000292"	"Seed Potassium content"
