"id"	"name"
"TO:0000001"	"carbon sensitivity"
"TO:0000002"	"epigenetic trait"
"TO:0000003"	"alkali soil sensitivity"
"TO:0000004"	"reversible male sterility"
"TO:0000006"	"calcium sensitivity"
"TO:0000007"	"sulfur sensitivity"
"TO:0000008"	"potassium sensitivity"
"TO:0000009"	"genic male sterility-photoperiod sensitive"
"TO:0000010"	"magnesium sensitivity"
"TO:0000011"	"nitrogen sensitivity"
"TO:0000012"	"hydrogen sensitivity"
"TO:0000013"	"resistance to disease by mycoplasma-like organism"
"TO:0000014"	"panicle weight"
"TO:0000015"	"oxygen sensitivity"
"TO:0000016"	"cobalt sensitivity"
"TO:0000017"	"plant morphology trait"
"TO:0000018"	"boron sensitivity"
"TO:0000019"	"seedling height"
"TO:0000020"	"black streak dwarf virus resistance"
"TO:0000021"	"copper sensitivity"
"TO:0000022"	"stink bug resistance"
"TO:0000023"	"fungal infection related grain discoloration"
"TO:0000024"	"ligule length"
"TO:0000025"	"molybdenum sensitivity"
"TO:0000026"	"aborted tri-nucleate stage"
"TO:0000027"	"culm number"
"TO:0000028"	"unfilled grain number"
"TO:0000029"	"chlorine sensitivity"
"TO:0000030"	"sedge weed response"
"TO:0000031"	"silicon sensitivity"
"TO:0000032"	"selenium sensitivity"
"TO:0000033"	"iodine sensitivity"
"TO:0000034"	"chromium sensitivity"
"TO:0000035"	"incompatibility trait"
"TO:0000036"	"hybrid incompatibility"
"TO:0000037"	"male sterility extent"
"TO:0000038"	"fluorine sensitivity"
"TO:0000039"	"yield component"
"TO:0000040"	"panicle length"
"TO:0000041"	"brown rice length"
"TO:0000042"	"f1-hybrid incompatibility"
"TO:0000043"	"root morphology trait"
"TO:0000044"	"stigma exsertion"
"TO:0000045"	"udbatta disease resistance"
"TO:0000046"	"f2-generation sterility"
"TO:0000047"	"sporophytic incompatibility"
"TO:0000048"	"kernel smut disease resistance"
"TO:0000049"	"gametophytic incompatibility"
"TO:0000050"	"inflorescence branching"
"TO:0000051"	"stem strength"
"TO:0000052"	"primary branching of inflorescence"
"TO:0000053"	"pollen sterility"
"TO:0000054"	"animal damage resistance"
"TO:0000055"	"leaf lamina pubescence"
"TO:0000056"	"stem color"
"TO:0000057"	"grain moisture"
"TO:0000058"	"herbicide sensitivity"
"TO:0000059"	"node color"
"TO:0000060"	"aborted uni-nucleate stage"
"TO:0000061"	"node shattering"
"TO:0000062"	"phenol reaction"
"TO:0000063"	"mimic response"
"TO:0000064"	"plant embryo morphology trait"
"TO:0000065"	"root color"
"TO:0000066"	"spot disease"
"TO:0000067"	"genic male sterility-thermo sensitive"
"TO:0000068"	"lodging incidence"
"TO:0000069"	"variegated leaf"
"TO:0000070"	"variegated leaf necrosis"
"TO:0000071"	"anthocyanin content"
"TO:0000072"	"awn length"
"TO:0000073"	"manganese sensitivity"
"TO:0000074"	"blast disease resistance"
"TO:0000075"	"light sensitivity"
"TO:0000076"	"inflorescence feature"
"TO:0000077"	"shoot system morphology trait"
"TO:0000078"	"root dry weight"
"TO:0000079"	"flower bract morphology trait"
"TO:0000080"	"micronutrient sensitivity"
"TO:0000081"	"deep root dry weight"
"TO:0000082"	"zigzag leafhopper resistance"
"TO:0000083"	"penetrated root number"
"TO:0000084"	"root number"
"TO:0000085"	"leaf rolling"
"TO:0000086"	"sheath rot disease resistance"
"TO:0000087"	"grain aroma trait"
"TO:0000088"	"rice yellow mottle virus resistance"
"TO:0000089"	"panicle inflorescence type"
"TO:0000090"	"penetrated root thickness"
"TO:0000091"	"leafhopper"
"TO:0000092"	"deep root to shoot ratio"
"TO:0000093"	"root pulling force"
"TO:0000094"	"basal root thickness"
"TO:0000095"	"osmotic response sensitivity"
"TO:0000096"	"ratooning ability"
"TO:0000097"	"amylopectin content"
"TO:0000098"	"glutinous endosperm"
"TO:0000099"	"sugary endosperm"
"TO:0000100"	"shrunken endosperm"
